distance,fish,trial,session,phase,epoch,experiment
-2.722,1,1,1,baseline,1,exp1_dir1
-0.432,1,2,1,baseline,1,exp1_dir1
0.238,1,3,1,baseline,1,exp1_dir1
1.608,1,4,1,baseline,1,exp1_dir1
1.308,1,5,1,baseline,1,exp1_dir1
2.238,1,6,1,perturbation,2,exp1_dir1
5.828,1,7,1,perturbation,2,exp1_dir1
2.568,1,8,1,perturbation,3,exp1_dir1
0.827999999999999,1,9,1,perturbation,3,exp1_dir1
1.298,1,10,1,perturbation,3,exp1_dir1
0.127999999999999,1,11,1,perturbation,3,exp1_dir1
4.588,1,12,1,perturbation,3,exp1_dir1
2.128,1,13,1,perturbation,4,exp1_dir1
-0.582000000000001,1,14,1,perturbation,4,exp1_dir1
-1.242,1,15,1,perturbation,4,exp1_dir1
-7.232,1,16,1,washout,5,exp1_dir1
-3.122,1,17,1,washout,5,exp1_dir1
-0.782000000000001,1,18,1,washout,6,exp1_dir1
-3.562,1,19,1,washout,6,exp1_dir1
-1.632,1,20,1,washout,6,exp1_dir1
-3.102,1,21,1,washout,6,exp1_dir1
0.406000000000001,1,1,2,baseline,1,exp1_dir1
-1.484,1,2,2,baseline,1,exp1_dir1
2.286,1,3,2,baseline,1,exp1_dir1
0.636000000000001,1,4,2,baseline,1,exp1_dir1
-1.844,1,5,2,baseline,1,exp1_dir1
4.306,1,6,2,perturbation,2,exp1_dir1
1.656,1,7,2,perturbation,2,exp1_dir1
5.056,1,8,2,perturbation,3,exp1_dir1
3.906,1,9,2,perturbation,3,exp1_dir1
4.856,1,10,2,perturbation,3,exp1_dir1
3.186,1,11,2,perturbation,3,exp1_dir1
3.886,1,12,2,perturbation,3,exp1_dir1
6.036,1,13,2,perturbation,4,exp1_dir1
4.816,1,14,2,perturbation,4,exp1_dir1
2.736,1,15,2,perturbation,4,exp1_dir1
0.556000000000001,1,16,2,washout,5,exp1_dir1
1.286,1,17,2,washout,5,exp1_dir1
-1.334,1,18,2,washout,6,exp1_dir1
-1.964,1,19,2,washout,6,exp1_dir1
-0.113999999999999,1,20,2,washout,6,exp1_dir1
-2.214,1,21,2,washout,6,exp1_dir1
0.464,1,1,3,baseline,1,exp1_dir1
2.084,1,2,3,baseline,1,exp1_dir1
-3.906,1,3,3,baseline,1,exp1_dir1
0.194,1,4,3,baseline,1,exp1_dir1
1.164,1,5,3,baseline,1,exp1_dir1
5.384,1,6,3,perturbation,2,exp1_dir1
5.664,1,7,3,perturbation,2,exp1_dir1
4.114,1,8,3,perturbation,3,exp1_dir1
4.734,1,9,3,perturbation,3,exp1_dir1
7.214,1,10,3,perturbation,3,exp1_dir1
4.514,1,11,3,perturbation,3,exp1_dir1
4.434,1,12,3,perturbation,3,exp1_dir1
5.194,1,13,3,perturbation,4,exp1_dir1
4.514,1,14,3,perturbation,4,exp1_dir1
-0.356,1,15,3,perturbation,4,exp1_dir1
-0.806,1,16,3,washout,5,exp1_dir1
-0.436,1,17,3,washout,5,exp1_dir1
1.034,1,18,3,washout,6,exp1_dir1
-1.286,1,19,3,washout,6,exp1_dir1
-0.786,1,20,3,washout,6,exp1_dir1
-2.336,1,21,3,washout,6,exp1_dir1
3.644,1,1,4,baseline,1,exp1_dir1
-1.856,1,2,4,baseline,1,exp1_dir1
0.494,1,3,4,baseline,1,exp1_dir1
-2.906,1,4,4,baseline,1,exp1_dir1
0.624,1,5,4,baseline,1,exp1_dir1
0.274,1,6,4,perturbation,2,exp1_dir1
8.224,1,7,4,perturbation,2,exp1_dir1
5.524,1,8,4,perturbation,3,exp1_dir1
1.544,1,9,4,perturbation,3,exp1_dir1
2.874,1,10,4,perturbation,3,exp1_dir1
7.544,1,11,4,perturbation,3,exp1_dir1
6.224,1,12,4,perturbation,3,exp1_dir1
1.824,1,13,4,perturbation,4,exp1_dir1
3.754,1,14,4,perturbation,4,exp1_dir1
3.834,1,15,4,perturbation,4,exp1_dir1
-2.596,1,16,4,washout,5,exp1_dir1
-0.776,1,17,4,washout,5,exp1_dir1
-3.546,1,18,4,washout,6,exp1_dir1
1.074,1,19,4,washout,6,exp1_dir1
-1.076,1,20,4,washout,6,exp1_dir1
-0.826,1,21,4,washout,6,exp1_dir1
2.688,1,1,5,baseline,1,exp1_dir1
0.888,1,2,5,baseline,1,exp1_dir1
-6.572,1,3,5,baseline,1,exp1_dir1
